station,step_pair,H1_mm,D1_mm,D2_mm
2896,20,-34.8,-8.7,8.1
2896,21,-35.2,-8.8,8.2
2926,1,-2.1,-0.5,0.5
2926,2,-4.5,-1.1,1.0
2926,3,-7.1,-1.8,1.7
2926,4,-9.9,-2.5,2.3
2926,5,-12.8,-3.2,3.0
2926,6,-15.7,-3.9,3.7
2926,7,-18.6,-4.7,4.4
2926,8,-21.4,-5.4,5.0
2926,9,-24.0,-6.0,5.6
2926,10,-26.5,-6.6,6.2
2926,11,-28.7,-7.2,6.7
2926,12,-30.7,-7.7,7.2
2926,13,-32.5,-8.1,7.6
2926,14,-34.0,-8.5,7.9
2926,15,-35.4,-8.8,8.2
2926,16,-36.5,-9.1,8.5
2926,17,-37.5,-9.4,8.7
2926,18,-38.3,-9.6,8.9
2926,19,-38.9,-9.7,9.1
2926,20,-39.5,-9.9,9.2
2926,21,-39.9,-10.0,9.3
2948,1,-1.0,-0.3,0.3
2948,2,-2.2,-0.5,0.5
2948,3,-3.5,-0.9,0.8
2948,4,-4.9,-1.2,1.1
2948,5,-6.4,-1.6,1.5
2948,6,-7.9,-2.0,1.8
2948,7,-9.4,-2.4,2.2
2948,8,-10.9,-2.7,2.5
2948,9,-12.3,-3.1,2.8
2948,10,-13.6,-3.4,3.1
2948,11,-14.8,-3.7,3.4
2948,12,-15.9,-4.0,3.6
2948,13,-16.9,-4.2,3.9
2948,14,-17.8,-4.4,4.1
2948,15,-18.6,-4.6,4.2
2948,16,-19.3,-4.8,4.4
2948,17,-19.9,-4.9,4.5
2948,18,-20.4,-5.1,4.6
2948,19,-20.8,-5.2,4.7
2948,20,-21.2,-5.3,4.8
2948,21,-21.5,-5.3,4.9
